0,1,2,3,4,5,6,7,x,y
43,1,'MAN','Abaurregaina-Abaurrea Alta',70,31,334,417,646634,475172
274,6,'AUTO','Ablitas MAPA',47,91,334,417,612354,465047
519,1,'AUTO','Abodi (Pikatua) GN',80,28,334,417,662144,475763
263,6,'AUTO','Adiós MAPA',40,46,334,417,602626,472675
33,1,'AUTO','Aguilar de Codés GN',5,51,334,417,549596,471797
262,6,'AUTO','Aibar MAPA',64,54,334,417,638211,471314
500,1,'MAN','Aldatz',34,25,334,417,592815,476253
45,1,'MAN','Alli-Larraun',32,26,334,417,590123,476059
47,1,'MAN','Alloz',30,45,334,417,586478,472860
49,1,'MAN','Altsasu-Alsasua',17,33,334,417,567134,474958
166,1,'MAN','Amaiur-Maya',54,12,334,417,623639,478430
50,1,'MAN','Amillano',23,44,334,417,575969,472994
251,3,'AUTO','Ancín INTIA',17,48,334,417,567783,472294
59,1,'MAN','Andosilla',30,67,334,417,586998,469140
34,1,'AUTO','Aoiz GN',61,39,334,417,633296,473882
61,1,'MAN','Aoiz MAN',61,39,334,417,633160,473849
22,1,'AUTO','Aralar GN',28,29,334,417,584480,475606
23,1,'AUTO','Arangoiti GN',70,48,334,417,647945,472294
501,1,'MAN','Arano',32,13,334,417,589838,478353
243,3,'AUTO','Arazuri INTIA',41,38,334,417,604152,474054
63,1,'MAN','Areso',29,20,334,417,585395,477078
65,1,'MAN','Aribe',66,29,334,417,641840,475583
66,1,'MAN','Arizkun',54,13,334,417,623254,478324
68,1,'MAN','Arróniz',22,52,334,417,574955,471579
264,6,'AUTO','Artajona MAPA',38,53,334,417,599221,471527
72,1,'MAN','Artieda',63,44,334,417,637191,473055
74,1,'MAN','Artikutza',37,12,334,417,597721,478513
116,1,'MAN','Aurizberri-Espinal',61,27,334,417,633116,475979
78,1,'MAN','Azanza',34,37,334,417,593289,474239
80,1,'MAN','Azpirotz',30,24,334,417,587771,476374
81,1,'MAN','Barásoain',46,51,334,417,610961,471756
6,3,'AUTO','Bardenas (Barranco) INTIA',46,73,334,417,610873,467999
275,6,'AUTO','Bardenas (El Plano) MAPA',53,71,334,417,622213,468382
31,1,'AUTO','Bardenas (El Yugo) GN',50,77,334,417,616960,467346
26,1,'AUTO','Bardenas (Loma Negra) GN',61,86,334,417,634261,465878
268,6,'AUTO','Bargota MAPA',11,60,334,417,557918,470367
84,1,'MAN','Belate',47,23,334,417,612005,476613
85,1,'MAN','Belzunce',44,32,334,417,607543,475032
12,1,'AUTO','Beortegi GN',57,38,334,417,627997,473954
227,1,'MAN','Bera',44,7,334,417,607332,479270
