,date,tav,tmax,tmin,rad,station,season,year_season,year_season_ext
121,2004-07-01,20.8,28.4,14.6,334.1,274,3,3.2004,S.2004
122,2004-07-02,19.5,25.6,13.5,336.9,274,3,3.2004,S.2004
123,2004-07-03,21.8,30.2,13.3,322.6,274,3,3.2004,S.2004
124,2004-07-04,24.1,34.2,13.6,314.2,274,3,3.2004,S.2004
125,2004-07-05,21.8,28.8,16.4,268.1,274,3,3.2004,S.2004
126,2004-07-06,20.1,26.8,15.5,165.1,274,3,3.2004,S.2004
127,2004-07-07,21.0,26.7,16.6,263.0,274,3,3.2004,S.2004
128,2004-07-08,17.3,23.3,11.0,312.9,274,3,3.2004,S.2004
129,2004-07-09,18.2,25.4,9.5,281.1,274,3,3.2004,S.2004
130,2004-07-10,19.5,25.6,14.4,237.2,274,3,3.2004,S.2004
131,2004-07-11,17.3,22.6,12.6,196.9,274,3,3.2004,S.2004
132,2004-07-12,16.9,23.2,11.0,294.3,274,3,3.2004,S.2004
133,2004-07-13,18.9,26.6,11.4,311.2,274,3,3.2004,S.2004
134,2004-07-14,21.4,29.2,13.1,309.8,274,3,3.2004,S.2004
135,2004-07-15,23.2,31.9,14.0,300.9,274,3,3.2004,S.2004
136,2004-07-16,22.8,31.6,17.1,209.3,274,3,3.2004,S.2004
137,2004-07-17,22.7,31.2,17.6,229.9,274,3,3.2004,S.2004
138,2004-07-18,22.9,30.1,17.6,274.2,274,3,3.2004,S.2004
139,2004-07-19,22.8,30.8,16.5,238.2,274,3,3.2004,S.2004
140,2004-07-20,24.2,31.6,16.4,318.8,274,3,3.2004,S.2004
141,2004-07-21,25.8,31.9,19.4,228.6,274,3,3.2004,S.2004
142,2004-07-22,26.7,35.3,19.0,300.8,274,3,3.2004,S.2004
143,2004-07-23,26.5,34.9,18.2,272.5,274,3,3.2004,S.2004
144,2004-07-24,26.1,34.8,19.4,293.9,274,3,3.2004,S.2004
145,2004-07-25,24.4,30.0,20.0,308.1,274,3,3.2004,S.2004
146,2004-07-26,22.7,28.8,17.6,317.7,274,3,3.2004,S.2004
147,2004-07-27,22.5,30.8,16.4,319.2,274,3,3.2004,S.2004
148,2004-07-28,22.9,33.2,12.1,303.2,274,3,3.2004,S.2004
149,2004-07-29,22.5,28.8,16.8,267.8,274,3,3.2004,S.2004
150,2004-07-30,23.3,31.0,16.0,289.4,274,3,3.2004,S.2004
151,2004-07-31,26.8,34.6,18.1,280.6,274,3,3.2004,S.2004
152,2004-08-01,27.0,35.6,22.0,221.1,274,3,3.2004,S.2004
153,2004-08-02,24.3,32.6,19.0,180.9,274,3,3.2004,S.2004
154,2004-08-03,21.9,30.0,16.8,242.7,274,3,3.2004,S.2004
155,2004-08-04,20.9,25.6,16.6,261.7,274,3,3.2004,S.2004
156,2004-08-05,22.3,29.3,16.7,311.7,274,3,3.2004,S.2004
157,2004-08-06,22.7,31.2,14.4,292.6,274,3,3.2004,S.2004
158,2004-08-07,23.2,28.1,19.6,179.6,274,3,3.2004,S.2004
159,2004-08-08,24.3,31.3,19.2,183.6,274,3,3.2004,S.2004
160,2004-08-09,22.8,29.7,17.0,156.3,274,3,3.2004,S.2004
161,2004-08-10,21.6,29.2,15.7,255.4,274,3,3.2004,S.2004
162,2004-08-11,24.6,31.7,15.6,296.6,274,3,3.2004,S.2004
163,2004-08-12,23.7,28.1,16.8,271.5,274,3,3.2004,S.2004
164,2004-08-13,21.6,29.1,14.2,299.1,274,3,3.2004,S.2004
165,2004-08-14,24.1,32.9,15.1,297.1,274,3,3.2004,S.2004
166,2004-08-15,26.1,34.8,17.0,280.2,274,3,3.2004,S.2004
167,2004-08-16,23.1,31.8,16.0,210.1,274,3,3.2004,S.2004
168,2004-08-17,21.0,26.6,17.3,95.5,274,3,3.2004,S.2004
169,2004-08-18,23.5,31.1,16.4,251.9,274,3,3.2004,S.2004
170,2004-08-19,21.3,28.2,15.2,178.5,274,3,3.2004,S.2004
171,2004-08-20,19.0,25.6,11.8,246.0,274,3,3.2004,S.2004
172,2004-08-21,18.5,25.4,12.0,268.3,274,3,3.2004,S.2004
173,2004-08-22,21.8,29.8,11.4,256.3,274,3,3.2004,S.2004
174,2004-08-23,24.7,30.6,20.4,171.1,274,3,3.2004,S.2004
175,2004-08-24,21.5,26.2,15.7,248.6,274,3,3.2004,S.2004
176,2004-08-25,20.2,28.3,12.2,261.5,274,3,3.2004,S.2004
177,2004-08-26,19.4,24.7,14.8,256.4,274,3,3.2004,S.2004
178,2004-08-27,19.4,28.2,11.0,278.9,274,3,3.2004,S.2004
179,2004-08-28,20.2,29.1,12.4,259.4,274,3,3.2004,S.2004
180,2004-08-29,21.4,28.9,15.4,251.5,274,3,3.2004,S.2004
181,2004-08-30,21.3,27.7,17.0,208.2,274,3,3.2004,S.2004
486,2005-07-02,24.2,33.5,13.4,342.3,274,3,3.2005,S.2005
487,2005-07-03,27.3,36.4,17.5,329.8,274,3,3.2005,S.2005
488,2005-07-04,20.0,24.2,14.7,246.6,274,3,3.2005,S.2005
489,2005-07-05,19.3,26.8,12.8,345.7,274,3,3.2005,S.2005
490,2005-07-06,20.5,27.3,15.0,298.8,274,3,3.2005,S.2005
491,2005-07-07,18.5,24.5,13.8,342.7,274,3,3.2005,S.2005
492,2005-07-08,19.5,25.0,14.4,333.1,274,3,3.2005,S.2005
493,2005-07-09,19.6,26.2,14.0,337.9,274,3,3.2005,S.2005
494,2005-07-10,20.6,27.0,15.2,345.4,274,3,3.2005,S.2005
495,2005-07-11,22.6,30.6,11.6,346.3,274,3,3.2005,S.2005
496,2005-07-12,25.2,32.4,17.0,336.9,274,3,3.2005,S.2005
497,2005-07-13,24.9,33.0,14.6,339.7,274,3,3.2005,S.2005
498,2005-07-14,26.8,35.4,15.8,323.0,274,3,3.2005,S.2005
499,2005-07-15,28.4,36.9,21.1,318.5,274,3,3.2005,S.2005
500,2005-07-16,27.1,37.5,17.1,331.4,274,3,3.2005,S.2005
501,2005-07-17,24.5,38.4,16.9,329.2,274,3,3.2005,S.2005
502,2005-07-18,21.3,27.7,15.5,312.0,274,3,3.2005,S.2005
503,2005-07-19,22.0,30.0,13.4,335.3,274,3,3.2005,S.2005
504,2005-07-20,24.3,34.3,15.0,330.0,274,3,3.2005,S.2005
505,2005-07-21,25.3,34.5,14.7,325.9,274,3,3.2005,S.2005
506,2005-07-22,23.9,30.7,18.3,303.9,274,3,3.2005,S.2005
507,2005-07-23,23.4,32.1,15.1,300.2,274,3,3.2005,S.2005
508,2005-07-24,24.5,34.0,15.2,299.0,274,3,3.2005,S.2005
509,2005-07-25,24.2,33.4,17.8,271.3,274,3,3.2005,S.2005
510,2005-07-26,26.0,33.7,17.3,303.6,274,3,3.2005,S.2005
511,2005-07-27,27.6,35.4,21.1,206.9,274,3,3.2005,S.2005
512,2005-07-28,27.2,33.1,21.8,228.7,274,3,3.2005,S.2005
513,2005-07-29,23.0,30.4,15.0,275.4,274,3,3.2005,S.2005
514,2005-07-30,20.2,26.6,14.6,323.4,274,3,3.2005,S.2005
515,2005-07-31,20.8,28.9,14.3,310.8,274,3,3.2005,S.2005
516,2005-08-01,19.1,23.9,14.7,160.8,274,3,3.2005,S.2005
517,2005-08-02,19.1,24.9,13.7,306.5,274,3,3.2005,S.2005
518,2005-08-03,19.9,27.6,12.0,323.0,274,3,3.2005,S.2005
519,2005-08-04,22.0,29.3,16.4,325.8,274,3,3.2005,S.2005
520,2005-08-05,23.0,33.5,11.2,328.5,274,3,3.2005,S.2005
521,2005-08-06,23.9,33.1,14.4,319.0,274,3,3.2005,S.2005
522,2005-08-07,25.3,33.9,16.9,311.5,274,3,3.2005,S.2005
523,2005-08-08,24.6,32.1,16.2,234.4,274,3,3.2005,S.2005
524,2005-08-09,24.7,31.9,18.8,221.4,274,3,3.2005,S.2005
525,2005-08-10,21.8,29.2,17.6,161.6,274,3,3.2005,S.2005
526,2005-08-11,22.0,27.6,17.0,277.9,274,3,3.2005,S.2005
527,2005-08-12,22.9,31.4,13.0,306.1,274,3,3.2005,S.2005
