tav;x;y
22;549596;471797
22.8;633296;473882
20.2;647945;472294
25.7;610873;467999
24.6;616960;467346
25.4;634261;465878
20.9;627997;473954
25.4;605801;467364
26.2;626471;469214
21.1;609659;472639
20.3;608898;477619
20.8;579684;472513
20.5;576760;475107
15;626224;478531
18.5;601356;475656
24.4;578128;469040
23.8;607987;470844
25.8;614022;469084
25.9;611286;466531
22.1;585907;473194
23.7;648317;471991
20.6;549596;471797
21;633296;473882
19.3;647945;472294
23.3;610873;467999
23;616960;467346
24.2;634261;465878
19.9;627997;473954
22.3;605801;467364
23.5;626471;469214
19.7;609659;472639
21;608898;477619
19.7;579684;472513
19.5;576760;475107
15;626224;478531
18.6;601356;475656
22.2;578128;469040
22.4;607987;470844
23.1;614022;469084
23.3;611286;466531
20.9;585907;473194
22.5;648317;471991
18.6;549596;471797
19.6;633296;473882
15.6;647945;472294
21.7;610873;467999
21;616960;467346
20.9;634261;465878
18.8;627997;473954
21.3;605801;467364
21.6;626471;469214
19.2;609659;472639
20.5;608898;477619
18.6;579684;472513
18.2;576760;475107
14.4;626224;478531
17.5;601356;475656
20.2;578128;469040
21.6;607987;470844
21.4;614022;469084
22;611286;466531
19.6;585907;473194
20.6;648317;471991
16.4;549596;471797
16.4;633296;473882
11.6;647945;472294
19.8;610873;467999
18.6;616960;467346
18.3;634261;465878
15.3;627997;473954
19.3;605801;467364
19.3;626471;469214
15.5;609659;472639
17.4;608898;477619
15.8;579684;472513
15.7;576760;475107
10.2;626224;478531
14.1;601356;475656
18.9;578128;469040
18.7;607987;470844
19.3;614022;469084
19.6;611286;466531
16.7;585907;473194
17.4;648317;471991
19.9;549596;471797
20.5;633296;473882
16.9;647945;472294
21.3;616960;467346
21.3;634261;465878
19.2;627997;473954
22.3;605801;467364
22.3;626471;469214
19.9;609659;472639
19.4;608898;477619
19.5;579684;472513
18.1;576760;475107
13.5;626224;478531
17;601356;475656
21.6;578128;469040
21.9;607987;470844
22.3;614022;469084
22.5;611286;466531
20.3;585907;473194
21.1;648317;471991
23.2;549596;471797
25.2;633296;473882
20.2;647945;472294
24.7;616960;467346
25.2;634261;465878
23.9;627997;473954
25.7;605801;467364
26.2;626471;469214
24.2;609659;472639
25.4;608898;477619
23;579684;472513
24.2;576760;475107
19.8;626224;478531
22.2;601356;475656
25.5;578128;469040
25.2;607987;470844
25.9;614022;469084
25.9;611286;466531
24.4;585907;473194
25.6;648317;471991
17.8;549596;471797
18.7;633296;473882
13.5;647945;472294
19.8;616960;467346
19.9;634261;465878
17.6;627997;473954
21.5;605801;467364
21;626471;469214
17.9;609659;472639
18.3;608898;477619
17.8;579684;472513
17.4;576760;475107
11.2;626224;478531
16;601356;475656
20.8;578128;469040
19.9;607987;470844
21.2;614022;469084
21.5;611286;466531
18.6;585907;473194
19.7;648317;471991
14.6;549596;471797
16.6;633296;473882
9.8;647945;472294
16.5;616960;467346
16.1;634261;465878
15.2;627997;473954
18;605801;467364
18.3;626471;469214
14.9;609659;472639
17.4;608898;477619
15.1;579684;472513
15.1;576760;475107
9.6;626224;478531
14.1;601356;475656
18;578128;469040
16.8;607987;470844
18;614022;469084
18.1;611286;466531
16.2;585907;473194
18;648317;471991
18.7;549596;471797
18.8;633296;473882
12.4;647945;472294
19.2;616960;467346
19.2;634261;465878
17.5;627997;473954
20;605801;467364
20.4;626471;469214
17.9;609659;472639
17.7;608898;477619
17.7;579684;472513
17.4;576760;475107
11.9;626224;478531
15.6;601356;475656
20.1;578128;469040
20;607987;470844
20.2;614022;469084
20.3;611286;466531
18.6;585907;473194
19.4;648317;471991
13.2;549596;471797
15;633296;473882
8.7;647945;472294
15.5;616960;467346
14.9;634261;465878
14;627997;473954
17.1;605801;467364
17.2;626471;469214
14.6;609659;472639
16.3;608898;477619
14.5;579684;472513
14.5;576760;475107
9.4;626224;478531
13.6;601356;475656
16.6;578128;469040
16.3;607987;470844
17.2;614022;469084
17.3;611286;466531
15.6;585907;473194
16.3;648317;471991
11.5;549596;471797
12.8;633296;473882
5.9;647945;472294
13.6;616960;467346
12.9;634261;465878
12.1;627997;473954
15.5;605801;467364
15.5;626471;469214
12.5;609659;472639
14.6;608898;477619
12.3;579684;472513
12.3;576760;475107
7.4;626224;478531
11.9;601356;475656
15.3;578128;469040
14;607987;470844
15.2;614022;469084
15.5;611286;466531
13.5;585907;473194
13.7;648317;471991
13.6;549596;471797
13.6;633296;473882
7.2;647945;472294
16.8;610873;467999
15;616960;467346
14.5;634261;465878
12.7;627997;473954
16.5;605801;467364
16.4;626471;469214
13.1;609659;472639
15.3;608898;477619
13.5;579684;472513
13;576760;475107
8.7;626224;478531
12.4;601356;475656
16.4;578128;469040
15.1;607987;470844
16.1;614022;469084
16.7;611286;466531
14.3;585907;473194
14.7;648317;471991
15.3;549596;471797
15;633296;473882
9.7;647945;472294
18;610873;467999
16.7;616960;467346
16;634261;465878
14.2;627997;473954
17.8;605801;467364
18;626471;469214
14.4;609659;472639
15.9;608898;477619
14.9;579684;472513
14.3;576760;475107
9.7;626224;478531
12.8;601356;475656
18.1;578128;469040
16.4;607987;470844
17.5;614022;469084
18.1;611286;466531
16.1;585907;473194
16.5;648317;471991
15.6;549596;471797
16.6;633296;473882
10.1;647945;472294
19.7;610873;467999
18.1;616960;467346
17.3;634261;465878
15.4;627997;473954
19.3;605801;467364
19;626471;469214
15.7;609659;472639
17.1;608898;477619
16.2;579684;472513
15.2;576760;475107
11.2;626224;478531
14.7;601356;475656
19.6;578128;469040
17.6;607987;470844
18.9;614022;469084
19.9;611286;466531
17.4;585907;473194
17.7;648317;471991
15.8;549596;471797
16;633296;473882
9.6;647945;472294
20.4;610873;467999
18.2;616960;467346
16.9;634261;465878
15.3;627997;473954
20.1;605801;467364
19.6;626471;469214
15.4;609659;472639
16.8;608898;477619
15.9;579684;472513
15;576760;475107
10.9;626224;478531
14.8;601356;475656
19.9;578128;469040
18.2;607987;470844
19.3;614022;469084
9.5;583180;474045
20.3;611286;466531
17.3;585907;473194
17.6;648317;471991
17.3;549596;471797
17.1;633296;473882
11.7;647945;472294
20.3;610873;467999
18.6;616960;467346
18.3;634261;465878
16.2;627997;473954
19.6;605801;467364
20.3;626471;469214
16.4;609659;472639
17.8;608898;477619
16.5;579684;472513
16.1;576760;475107
11.1;626224;478531
15.3;601356;475656
20.3;578128;469040
18.1;607987;470844
19.6;614022;469084
10.3;583180;474045
20;611286;466531
17.6;585907;473194
18.8;648317;471991
18.1;549596;471797
18.8;633296;473882
14.5;647945;472294
20;610873;467999
19.4;616960;467346
19.6;634261;465878
17.7;627997;473954
20;605801;467364
21.1;626471;469214
18.6;609659;472639
18.6;608898;477619
17.7;579684;472513
17.1;576760;475107
13.4;626224;478531
16.1;601356;475656
19.5;578128;469040
19.9;607987;470844
20.1;614022;469084
13.2;583180;474045
20.3;611286;466531
18.6;585907;473194
19.1;648317;471991
21.2;549596;471797
22.6;633296;473882
18;647945;472294
23.6;610873;467999
22.6;616960;467346
22.3;634261;465878
21.4;627997;473954
23.1;605801;467364
24.3;626471;469214
21.6;609659;472639
21.2;608898;477619
20.9;579684;472513
20.6;576760;475107
16.9;626224;478531
19.5;601356;475656
23.3;578128;469040
23.1;607987;470844
23.7;614022;469084
16.2;583180;474045
23.3;611286;466531
22.3;585907;473194
23.2;648317;471991
21.8;549596;471797
22.6;633296;473882
19.8;647945;472294
24.9;610873;467999
24.2;616960;467346
24.7;634261;465878
21.4;627997;473954
24.6;605801;467364
25.9;626471;469214
21.5;609659;472639
20.4;608898;477619
21.1;579684;472513
19.7;576760;475107
16.7;626224;478531
18.8;601356;475656
24;578128;469040
24;607987;470844
24.7;614022;469084
16.7;583180;474045
25.1;611286;466531
22.9;585907;473194
23.5;648317;471991
23;549596;471797
23;633296;473882
21;647945;472294
25.9;610873;467999
24.7;616960;467346
25.1;634261;465878
22.3;627997;473954
25.1;605801;467364
26.2;626471;469214
22.6;609659;472639
22;608898;477619
22.5;579684;472513
20.6;576760;475107
17.4;626224;478531
19.5;601356;475656
24.9;578128;469040
25.2;607987;470844
25.3;614022;469084
17.4;583180;474045
25.7;611286;466531
23.8;585907;473194
24;648317;471991
25.4;549596;471797
26.6;633296;473882
21.6;647945;472294
27;610873;467999
25.7;616960;467346
26.5;634261;465878
25.3;627997;473954
26.6;605801;467364
27.4;626471;469214
26.5;609659;472639
24.8;608898;477619
24.7;579684;472513
24.8;576760;475107
21.7;626224;478531
22;601356;475656
26.1;578128;469040
26.7;607987;470844
26.9;614022;469084
20.4;583180;474045
27.1;611286;466531
25.8;585907;473194
26.1;648317;471991
22.6;549596;471797
24.9;633296;473882
22.1;647945;472294
25.9;610873;467999
25;616960;467346
26.1;634261;465878
23.1;627997;473954
26.1;605801;467364
26.7;626471;469214
22.6;609659;472639
22.4;608898;477619
21.7;579684;472513
22.2;576760;475107
23.1;625250;471939
17.6;626224;478531
20.1;601356;475656
25.7;578128;469040
24.8;607987;470844
26;614022;469084
15.8;583180;474045
26.1;611286;466531
23.2;585907;473194
26.7;648317;471991
19.3;549596;471797
20.8;633296;473882
16.9;647945;472294
22.9;610873;467999
21.4;616960;467346
21.4;634261;465878
19.8;627997;473954
22.4;605801;467364
20.3;609659;472639
20.7;608898;477619
19.2;579684;472513
19.5;576760;475107
19.7;625250;471939
14.4;626224;478531
18.5;601356;475656
21.8;578128;469040
22.1;607987;470844
22.5;614022;469084
15;583180;474045
22.5;611286;466531
20.4;585907;473194
21.4;648317;471991
19.9;549596;471797
20.2;633296;473882
14.4;647945;472294
22.1;610873;467999
21.5;616960;467346
21.2;634261;465878
18.8;627997;473954
22;605801;467364
20.2;609659;472639
19.8;608898;477619
19.6;579684;472513
18.1;576760;475107
18.5;625250;471939
14.4;626224;478531
17.2;601356;475656
21.4;578128;469040
22.3;607987;470844
22;614022;469084
14;583180;474045
21.9;611286;466531
19.9;585907;473194
20.1;648317;471991
18.4;549596;471797
18.7;633296;473882
13.2;647945;472294
21.7;610873;467999
21;616960;467346
20.7;634261;465878
17.3;627997;473954
21.8;605801;467364
18.7;609659;472639
18.9;608898;477619
17.9;579684;472513
17.3;576760;475107
16.8;625250;471939
13.7;626224;478531
16.5;601356;475656
20.1;578128;469040
20;607987;470844
20.8;614022;469084
13.4;583180;474045
22;611286;466531
18.1;585907;473194
18.4;648317;471991
19.2;549596;471797
18.5;633296;473882
15.2;647945;472294
21.1;610873;467999
21.4;616960;467346
21.8;634261;465878
17.6;627997;473954
20.7;605801;467364
21.8;626471;469214
18.5;609659;472639
19.3;608898;477619
18.4;579684;472513
17.2;576760;475107
17.8;625250;471939
14;626224;478531
15.7;601356;475656
20.5;578128;469040
21.1;607987;470844
20.8;614022;469084
13.4;583180;474045
21.7;611286;466531
18.5;585907;473194
20.1;648317;471991
19.5;549596;471797
20.4;633296;473882
16.8;647945;472294
22.4;610873;467999
22.2;616960;467346
23.3;634261;465878
19;627997;473954
22.2;605801;467364
23.3;626471;469214
19.1;609659;472639
18.6;608898;477619
18.5;579684;472513
17.6;576760;475107
19.3;625250;471939
14.1;626224;478531
16.2;601356;475656
21.6;578128;469040
21.4;607987;470844
22.2;614022;469084
14.7;583180;474045
22.9;611286;466531
19.5;585907;473194
22.1;648317;471991
18.4;549596;471797
19.4;633296;473882
13;647945;472294
21.7;610873;467999
19.9;616960;467346
19.5;634261;465878
18.2;627997;473954
21.1;605801;467364
21.6;626471;469214
18.3;609659;472639
19.6;608898;477619
18.6;579684;472513
17.5;576760;475107
17.6;625250;471939
13;626224;478531
16.9;601356;475656
20.8;578128;469040
20.2;607987;470844
21;614022;469084
12.1;583180;474045
21.5;611286;466531
19;585907;473194
20.4;648317;471991
18.8;549596;471797
19;633296;473882
13.1;647945;472294
21.1;610873;467999
19.6;616960;467346
19.3;634261;465878
17.6;627997;473954
20.4;605801;467364
21.3;626471;469214
17.7;609659;472639
19;608898;477619
18.1;579684;472513
16.6;576760;475107
17.1;625250;471939
12.5;626224;478531
15;601356;475656
20.7;578128;469040
19.3;607987;470844
20.4;614022;469084
11.9;583180;474045
21;611286;466531
18.6;585907;473194
20.1;648317;471991
21.4;549596;471797
21.1;633296;473882
19.1;647945;472294
23.2;610873;467999
22.4;616960;467346
22.7;634261;465878
19.9;627997;473954
22;605801;467364
23.3;626471;469214
20.4;609659;472639
20.3;608898;477619
20.6;579684;472513
18.6;576760;475107
20.3;625250;471939
14.9;626224;478531
18.3;601356;475656
22.4;578128;469040
22.5;607987;470844
22.9;614022;469084
16.8;583180;474045
23.5;611286;466531
20.8;585907;473194
21.3;648317;471991
24.7;549596;471797
24.8;633296;473882
22.2;647945;472294
26;610873;467999
26.7;616960;467346
27.4;634261;465878
23.6;627997;473954
25.2;605801;467364
27;626471;469214
24.7;609659;472639
24.2;608898;477619
23.5;579684;472513
23.1;576760;475107
24.1;625250;471939
21.4;626224;478531
21.9;601356;475656
25;578128;469040
26.3;607987;470844
25.7;614022;469084
21.3;583180;474045
26.9;611286;466531
24.3;585907;473194
25.5;648317;471991
22.7;549596;471797
24;633296;473882
21.3;647945;472294
26.1;610873;467999
24.5;616960;467346
25;634261;465878
22.4;627997;473954
25.5;605801;467364
26.3;626471;469214
22.3;609659;472639
20.3;608898;477619
22.1;579684;472513
19.8;576760;475107
23.1;625250;471939
16;626224;478531
18.9;601356;475656
25;578128;469040
25.2;607987;470844
25.9;614022;469084
17.4;583180;474045
25.7;611286;466531
23.4;585907;473194
25.5;648317;471991
18.2;549596;471797
19.5;633296;473882
14.4;647945;472294
21.9;610873;467999
19.9;616960;467346
19.6;634261;465878
18.4;627997;473954
21.4;605801;467364
22.3;626471;469214
18.1;609659;472639
18.8;608898;477619
18.2;579684;472513
17.8;576760;475107
17.6;625250;471939
12.1;626224;478531
16.2;601356;475656
21.7;578128;469040
20;607987;470844
21.4;614022;469084
11.6;583180;474045
21.6;611286;466531
19;585907;473194
20.7;648317;471991
14.7;549596;471797
16.4;633296;473882
9.7;647945;472294
18.9;610873;467999
16.9;616960;467346
16;634261;465878
15.5;627997;473954
18.3;605801;467364
18.9;626471;469214
15.5;609659;472639
16.8;608898;477619
15.5;579684;472513
15.3;576760;475107
14.7;625250;471939
10.2;626224;478531
14.4;601356;475656
18.4;578128;469040
17.2;607987;470844
18.3;614022;469084
8.8;583180;474045
18.6;611286;466531
17;585907;473194
17.6;648317;471991
14.3;549596;471797
15.3;633296;473882
8.6;647945;472294
17.6;610873;467999
15.9;616960;467346
15;634261;465878
14.3;627997;473954
17.4;605801;467364
17.7;626471;469214
14.2;609659;472639
16.3;608898;477619
14.5;579684;472513
14;576760;475107
9.8;626224;478531
13.2;601356;475656
17.6;578128;469040
16;607987;470844
17.1;614022;469084
8.3;583180;474045
17.6;611286;466531
15.8;585907;473194
16.7;648317;471991
14.5;549596;471797
15.8;633296;473882
9.3;647945;472294
18.5;610873;467999
16.6;616960;467346
15.9;634261;465878
14.9;627997;473954
18.1;605801;467364
18.6;626471;469214
15.4;609659;472639
17.5;608898;477619
15.3;579684;472513
15;576760;475107
10.4;626224;478531
14.1;601356;475656
17.9;578128;469040
16.9;607987;470844
18;614022;469084
9.5;583180;474045
18.3;611286;466531
16.3;585907;473194
17.7;648317;471991
15.7;549596;471797
17.6;633296;473882
11.1;647945;472294
19.6;610873;467999
17.9;616960;467346
17.3;634261;465878
16.9;627997;473954
19.1;605801;467364
20.1;626471;469214
16.6;609659;472639
18.3;608898;477619
16.3;579684;472513
15.8;576760;475107
11;626224;478531
15.5;601356;475656
18.2;607987;470844
19.3;614022;469084
10.3;583180;474045
19.3;611286;466531
18.1;585907;473194
19.2;648317;471991
18.7;549596;471797
18.9;633296;473882
15.2;647945;472294
21;610873;467999
19.5;616960;467346
19.4;634261;465878
17.8;627997;473954
20.4;605801;467364
20.8;626471;469214
17.7;609659;472639
18.2;608898;477619
18.3;579684;472513
16.9;576760;475107
12.8;626224;478531
16;601356;475656
19.8;607987;470844
20.4;614022;469084
12.7;583180;474045
20.9;611286;466531
19.4;585907;473194
19.1;648317;471991
22.2;549596;471797
21.3;633296;473882
19;647945;472294
22.4;610873;467999
22.6;616960;467346
23.3;634261;465878
19.8;627997;473954
21.3;605801;467364
22.5;626471;469214
20.7;609659;472639
20.4;608898;477619
20.3;579684;472513
19.2;576760;475107
20.7;625250;471939
16.9;626224;478531
18.7;601356;475656
22.5;607987;470844
22;614022;469084
17.7;583180;474045
23.1;611286;466531
20.8;585907;473194
21.7;648317;471991
24.5;549596;471797
22.5;633296;473882
21.5;647945;472294
24.5;610873;467999
24.5;616960;467346
25.2;634261;465878
21.4;627997;473954
22.9;605801;467364
23.5;626471;469214
22.4;609659;472639
21.8;608898;477619
22.5;579684;472513
21.1;576760;475107
18.6;626224;478531
20.4;601356;475656
24.4;607987;470844
23.7;614022;469084
20.9;583180;474045
24.7;611286;466531
22;585907;473194
22.7;648317;471991
25.5;549596;471797
24.7;633296;473882
23.1;647945;472294
23.2;604152;474054
25.6;610873;467999
26.3;616960;467346
26.7;634261;465878
23.6;627997;473954
23.8;605801;467364
26.1;626471;469214
25;609659;472639
24.5;608898;477619
23.2;579684;472513
21.2;576760;475107
24.3;625250;471939
22.8;626224;478531
23.9;641305;472509
21.1;601356;475656
25.8;607987;470844
24.9;614022;469084
22.5;583180;474045
25.6;611286;466531
23.6;585907;473194
24.8;648317;471991
21.4;549596;471797
22.7;633296;473882
19.8;647945;472294
21.4;604152;474054
23.6;610873;467999
22.5;616960;467346
23.4;634261;465878
22.5;627997;473954
23;605801;467364
23.9;626471;469214
22.4;609659;472639
20.2;608898;477619
21.3;579684;472513
21.2;576760;475107
22.2;625250;471939
19.4;626224;478531
22.8;641305;472509
18.8;601356;475656
23.4;607987;470844
24;614022;469084
17.5;583180;474045
23.4;611286;466531
21.8;585907;473194
24.2;648317;471991
17.2;549596;471797
18.9;633296;473882
13.2;647945;472294
19.8;610873;467999
19;616960;467346
18;634261;465878
18.1;627997;473954
20;605801;467364
20.3;626471;469214
17.3;609659;472639
18.9;608898;477619
17.3;579684;472513
16.5;576760;475107
16.8;625250;471939
12.9;626224;478531
15.9;601356;475656
19;607987;470844
19.7;614022;469084
11.6;583180;474045
20.3;611286;466531
18.6;585907;473194
19.5;648317;471991
20.7;549596;471797
21.6;633296;473882
18.2;647945;472294
22.2;610873;467999
22.9;616960;467346
23;634261;465878
21.2;627997;473954
21.8;605801;467364
22.7;626471;469214
20.7;609659;472639
22.3;608898;477619
19.6;579684;472513
19.3;576760;475107
17.3;626224;478531
18.6;601356;475656
22.6;607987;470844
22;614022;469084
16.3;583180;474045
23.1;611286;466531
21.1;585907;473194
22;648317;471991
22.8;549596;471797
23.4;633296;473882
20.1;647945;472294
22.3;604152;474054
24.4;610873;467999
24.7;616960;467346
24.2;634261;465878
22.7;627997;473954
24.1;605801;467364
25.1;626471;469214
22;609659;472639
21.6;608898;477619
21.7;579684;472513
20.3;576760;475107
