,date,tav,tmax,tmin,rad,station,season,year_season,year_season_ext
304,2005-01-01,9.6,15.0,6.5,101.9,274,1,1.2005,W.2005
305,2005-01-02,9.3,13.9,5.8,55.5,274,1,1.2005,W.2005
306,2005-01-03,6.9,11.1,-0.3,101.7,274,1,1.2005,W.2005
307,2005-01-04,0.2,5.7,-2.6,48.8,274,1,1.2005,W.2005
308,2005-01-05,1.0,6.9,-4.7,97.0,274,1,1.2005,W.2005
309,2005-01-06,6.6,14.8,-0.9,101.2,274,1,1.2005,W.2005
310,2005-01-07,0.3,1.9,-2.0,27.3,274,1,1.2005,W.2005
311,2005-01-08,1.2,3.6,-0.4,34.4,274,1,1.2005,W.2005
312,2005-01-09,-0.9,0.6,-1.8,16.9,274,1,1.2005,W.2005
313,2005-01-10,-1.7,-0.9,-2.7,17.3,274,1,1.2005,W.2005
314,2005-01-11,-2.0,-0.6,-3.5,28.5,274,1,1.2005,W.2005
315,2005-01-12,-0.1,3.7,-2.2,45.3,274,1,1.2005,W.2005
316,2005-01-13,2.4,5.4,-1.7,34.5,274,1,1.2005,W.2005
317,2005-01-14,1.3,2.5,-0.2,27.9,274,1,1.2005,W.2005
318,2005-01-15,1.7,2.9,0.4,28.2,274,1,1.2005,W.2005
319,2005-01-16,2.0,2.7,1.5,15.2,274,1,1.2005,W.2005
320,2005-01-17,0.9,1.7,-0.2,23.2,274,1,1.2005,W.2005
321,2005-01-18,3.8,11.9,-1.5,72.8,274,1,1.2005,W.2005
322,2005-01-19,9.4,13.6,4.9,82.8,274,1,1.2005,W.2005
323,2005-01-20,11.6,15.2,7.3,89.5,274,1,1.2005,W.2005
324,2005-01-21,8.8,12.5,5.3,115.1,274,1,1.2005,W.2005
325,2005-01-22,9.4,12.5,5.7,80.8,274,1,1.2005,W.2005
326,2005-01-23,8.4,12.3,2.7,111.1,274,1,1.2005,W.2005
327,2005-01-24,3.0,7.5,-0.7,73.0,274,1,1.2005,W.2005
328,2005-01-25,-0.2,3.7,-3.3,87.7,274,1,1.2005,W.2005
329,2005-01-26,-2.1,0.4,-3.8,113.0,274,1,1.2005,W.2005
330,2005-01-27,-0.9,1.8,-3.5,127.3,274,1,1.2005,W.2005
331,2005-01-28,2.6,7.1,-2.0,83.7,274,1,1.2005,W.2005
332,2005-01-29,4.8,8.3,1.0,128.4,274,1,1.2005,W.2005
333,2005-01-30,2.6,6.0,-0.2,133.7,274,1,1.2005,W.2005
334,2005-01-31,5.4,9.3,2.7,121.6,274,1,1.2005,W.2005
335,2005-02-01,7.1,10.1,4.0,93.4,274,1,1.2005,W.2005
336,2005-02-02,6.8,10.1,4.2,134.7,274,1,1.2005,W.2005
337,2005-02-03,6.6,11.2,3.2,138.2,274,1,1.2005,W.2005
338,2005-02-04,3.5,9.1,-2.0,133.7,274,1,1.2005,W.2005
339,2005-02-05,1.4,7.7,-5.0,88.3,274,1,1.2005,W.2005
340,2005-02-06,5.2,10.2,1.3,71.1,274,1,1.2005,W.2005
341,2005-02-07,6.1,11.3,2.8,85.9,274,1,1.2005,W.2005
342,2005-02-08,5.2,10.6,2.3,64.3,274,1,1.2005,W.2005
343,2005-02-09,4.4,11.5,-0.8,110.4,274,1,1.2005,W.2005
344,2005-02-10,5.5,14.3,-3.4,148.2,274,1,1.2005,W.2005
345,2005-02-11,7.5,16.4,-2.0,145.6,274,1,1.2005,W.2005
346,2005-02-12,9.4,14.8,3.1,89.0,274,1,1.2005,W.2005
347,2005-02-13,10.4,13.9,4.5,82.9,274,1,1.2005,W.2005
348,2005-02-14,5.2,9.2,2.3,114.1,274,1,1.2005,W.2005
